Respondent ID,Collector ID,Start Date,End Date,IP Address,Email Address,First Name,Last Name,Custom Data 1,Enter your unique MTurk Worker ID number ,,,,,,,,,,Do you take nutritional supplements?,,"Following up to the previous question, why do or don't you take nutritional supplements? ",What's the most likely avenue for you to learn about nutrition? ,,,,,,Have you heard of Moringa Oleifera? ,,Where do you normally search for your supplements? ,,,,How likely are you to try a supplement if you read about it in the news? ,,,,,,,What do you look for in a nutritional supplement? (check all that apply),,,,,What is your gender?,
,,,,,,,,,Worker ID number,Company,Address,Address 2,City/Town,State/Province,ZIP/Postal Code,Country,Email Address,Phone Number,Yes,No,Open-Ended Response,Word of mouth,Social Media,Searching Online,TV,Online news,Your Doctor,Yes,No,In-store,Online,Word of mouth,I grow my nutrients myself,Very likely,Likely,Somewhat likely,Neither likely nor unlikely,Somewhat unlikely,Unlikely,Very unlikely,Organic certification,Vegan capsule,Dosage,Brand,Price,Female,Male
10809733629,236726203,06/19/2019 11:28:14 PM,06/19/2019 11:30:00 PM,73.12.210.136,,,,,A3J9EHZQ9PERAX,,,,,,,,,,Yes,,Because I want to be healthier and it seems to make me feel more mentally alert.,,,Searching Online,,,,,No,,Online,,,,,,Neither likely nor unlikely,,,,,,Dosage,,Price,Female,
10809572397,236726203,06/19/2019 09:29:13 PM,06/19/2019 09:30:19 PM,71.120.222.197,,,,,A1Z7DOVT6CYAL6,,,,,,,,,,Yes,,I am vegan and certain nutrients are not attainable without supplementation.,,,Searching Online,,,,Yes,,,Online,,,,,,Neither likely nor unlikely,,,,Organic certification,Vegan capsule,,,,Female,
10808625785,236726203,06/19/2019 01:11:55 PM,06/19/2019 02:07:12 PM,73.145.67.40,,,,,A1K2E8ICV5LAJ2,,,,,,,,,,Yes,,"Since I'm busy, it's easier for me to take supplements ",,,,,,Your Doctor,,No,In-store,,,,,,,Neither likely nor unlikely,,,,,,Dosage,,Price,Female,
10808305665,236726203,06/19/2019 12:02:18 PM,06/19/2019 12:04:21 PM,72.223.24.90,,,,,AY1CM9ZI774II,,,,,,,,,,Yes,,I take nutritional supplements because my system had been compromised by depression. ,,,Searching Online,,,,,No,,Online,,,,,,Neither likely nor unlikely,,,,,Vegan capsule,Dosage,,Price,,Male
10807213052,236726203,06/19/2019 04:24:48 AM,06/19/2019 04:26:05 AM,24.225.114.170,,,,,A2YE7NBCK14VAQ,,,,,,,,,,Yes,,i do not eat healthy so i get my vitamins from supplements,,,Searching Online,,,,,No,,Online,,,,,Somewhat likely,,,,,,,Dosage,,Price,,Male
10806951606,236726203,06/19/2019 01:08:04 AM,06/19/2019 01:09:16 AM,173.31.201.186,,,,,A1R8A1ZKR80MRA,,,,,,,,,,,No,I don't want to take anything that might interfere with my cancer meds.,,,Searching Online,,,,,No,,Online,,,,,,,,,Very unlikely,,,Dosage,Brand,Price,Female,
10806671884,236726203,06/18/2019 09:50:02 PM,06/18/2019 09:51:13 PM,108.39.198.21,,,,,A2F0X4LN9N4O4C,,,,,,,,,,,No,I don't think there is any nutritional value in taking supplements.,,,,,,Your Doctor,,No,,Online,,,,,Somewhat likely,,,,,Organic certification,,,,Price,Female,
10799520287,236726203,06/15/2019 05:01:20 AM,06/15/2019 05:02:43 AM,24.198.188.151,,,,,A36H3PO6JZD414,,,,,,,,,,,No,never had the need for them,,,,,,Your Doctor,,No,In-store,,,,,,,,Somewhat unlikely,,,,,,,Price,,Male
10799276402,236726203,06/14/2019 10:47:53 PM,06/14/2019 10:48:56 PM,208.107.149.53,,,,,A6PPB69C6ZJHN,,,,,,,,,,Yes,,I take them because I don't get enough vitamin D.,Word of mouth,,,,,,,No,,,Word of mouth,,,,,Neither likely nor unlikely,,,,,,,,Price,,Male
10799201949,236726203,06/14/2019 09:12:20 PM,06/14/2019 09:15:54 PM,69.125.205.37,,,,,A16MDZ7O8KL9EC,,,,,,,,,,Yes,,I take vitamins and some other supplements to help if there are any deficiencies in my diet.,,,Searching Online,,,,,No,In-store,,,,,,,Neither likely nor unlikely,,,,Organic certification,,Dosage,,Price,,Male
10798621380,236726203,06/14/2019 02:35:22 PM,06/14/2019 02:36:58 PM,70.160.24.177,,,,,A4E1UYPDHE8D8,,,,,,,,,,Yes,,Taking supplements has a positive effect on maintaining my health.,,,Searching Online,,,,,No,In-store,,,,,,,Neither likely nor unlikely,,,,,,Dosage,Brand,Price,,Male
10798350613,236726203,06/14/2019 12:33:20 PM,06/14/2019 12:35:15 PM,172.112.11.14,,,,,AA7LA8WQNABDT,,,,,,,,,,Yes,,I take them because food does not provide all the vitamins and minerals needed by the body.,,,Searching Online,,,,,No,,Online,,,,,Somewhat likely,,,,,Organic certification,,Dosage,,Price,Female,
10798190483,236726203,06/14/2019 11:28:52 AM,06/14/2019 11:30:00 AM,204.195.45.80,,,,,A2UX7ZJEGGU5,,,,,,,,,,,No,I do not think they are necessary if I eat a balanced diet. I also think there is not enough regulation for supplements.,,,Searching Online,,,,,No,,Online,,,,,,,,,Very unlikely,,,,,Price,Female,
10797352342,236726203,06/14/2019 04:06:18 AM,06/14/2019 04:07:41 AM,73.144.46.118,,,,,A1XUZFDVKP95VC,,,,,,,,,,,No,i currently dont have the spare money,,,Searching Online,,,,,No,,Online,,,,,,Neither likely nor unlikely,,,,,,Dosage,Brand,Price,,Male
10797217331,236726203,06/14/2019 02:09:38 AM,06/14/2019 02:11:17 AM,75.89.132.108,,,,,A70L26UXLTGLC,,,,,,,,,,Yes,,I take fiber supplements because I had diverticulitis a few years ago and spent almost a week in the hospital.,,,Searching Online,,,,,No,In-store,,,,,,,Neither likely nor unlikely,,,,,,Dosage,Brand,Price,,Male
10796614045,236726203,06/13/2019 05:54:50 PM,06/13/2019 05:56:15 PM,138.210.94.210,,,,,A3862RIFFUV141,,,,,,,,,,Yes,,I don't take them regularly but occasionally I take them when my stomach is acting up.  It does seem to miidly help my gut health.,,,Searching Online,,,,,No,In-store,,,,,,,Neither likely nor unlikely,,,,,,Dosage,,Price,,Male
10795540454,236726203,06/13/2019 10:53:26 AM,06/13/2019 10:54:44 AM,67.246.76.92,,,,,AOSLTO4W2A476,,,,,,,,,,,No,To expensive for me.,,,Searching Online,,,,,No,,Online,,,,,,Neither likely nor unlikely,,,,Organic certification,,,,Price,,Male
10795412419,236726203,06/13/2019 10:10:02 AM,06/13/2019 10:11:10 AM,137.139.88.14,,,,,AGYZ0GAAUIJZX,,,,,,,,,,Yes,,"To maintain and improve my overall health, appearance, vitality, athletic performance, and sex drive.",,,Searching Online,,,,,No,,Online,,,,,,Neither likely nor unlikely,,,,Organic certification,,Dosage,Brand,Price,,Male
10794415789,236726203,06/12/2019 11:08:06 PM,06/12/2019 11:09:58 PM,99.157.102.8,,,,,AVHZJ2HQJG3NB,,,,,,,,,,Yes,,Because sometimes I need the extra nutrients that food lack.,,,Searching Online,,,,,No,In-store,,,,,,Somewhat likely,,,,,,,,Brand,Price,,Male
10794167295,236726203,06/12/2019 07:55:21 PM,06/12/2019 07:57:33 PM,174.241.130.167,,,,,A26CL8E3XJWH1W,,,,,,,,,,,No,I'm not sure they're affective.,,,Searching Online,,,,,No,,Online,,,,,,,,Unlikely,,,,Dosage,,Price,,Male
10794089723,236726203,06/12/2019 07:03:53 PM,06/12/2019 07:05:14 PM,73.149.110.105,,,,,A1BQBQG2GNY8AY,,,,,,,,,,Yes,,I want to be in optimum health.,,,Searching Online,,,,,No,,Online,,,,,,Neither likely nor unlikely,,,,Organic certification,,,Brand,,Female,
10792955984,236726203,06/12/2019 10:44:45 AM,06/12/2019 10:46:56 AM,173.28.230.222,,,,,A2JZQHB8N6LS7T,,,,,,,,,,Yes,,I take them because my doctor has told me to.,,Social Media,,,,,,No,,Online,,,,Likely,,,,,,,,Dosage,,Price,Female,
10791875632,236726203,06/11/2019 11:10:50 PM,06/11/2019 11:12:49 PM,67.1.119.255,,,,,A2WGW5Y3ZFBDEC,,,,,,,,,,Yes,,"For working out, having more energy, building muscle.",,,Searching Online,,,,,No,,Online,,,,,,Neither likely nor unlikely,,,,,,Dosage,,Price,,Male
10791870969,236726203,06/11/2019 11:08:11 PM,06/11/2019 11:10:03 PM,173.18.14.27,,,,,A1VI3SOIHT6Y0D,,,,,,,,,,Yes,,"To address specific health concerns (inflammation, primarily)",,,Searching Online,,,,,No,,Online,,,,,Somewhat likely,,,,,Organic certification,,Dosage,,,Female,
10791811581,236726203,06/11/2019 10:20:35 PM,06/11/2019 10:21:49 PM,71.81.201.53,,,,,A0533430WOF7V9XR82TB,,,,,,,,,,Yes,,To receive nutrients I am not able to intake due to my diet. ,,,Searching Online,,,,,No,,Online,,,,,Somewhat likely,,,,,,,Dosage,Brand,Price,Female,
10791769937,236726203,06/11/2019 09:47:11 PM,06/11/2019 09:49:56 PM,76.243.100.210,,,,,A1AYWUSULABAXL,,,,,,,,,,Yes,,I take a vitamin at my doctor's recommendation to take in more vitamin D.,,,Searching Online,,,,,No,In-store,,,,,,,,,,Very unlikely,,,,Brand,,Female,
10791718134,236726203,06/11/2019 09:11:57 PM,06/11/2019 09:13:03 PM,108.214.191.161,,,,,A1F991VPHVNIVC,,,,,,,,,,Yes,,I want to live a long and healthy life.,,,Searching Online,,,,,No,,Online,,,,,,,Somewhat unlikely,,,,,Dosage,Brand,Price,,Male
10791568602,236726203,06/11/2019 07:28:59 PM,06/11/2019 07:30:01 PM,67.245.12.9,,,,,A3SKEW89V5S0DI,,,,,,,,,,,No,I don't feel as though I need them. My health is good.,,,Searching Online,,,,,No,,Online,,,,,,,,,Very unlikely,Organic certification,,Dosage,Brand,Price,,Male
10791495261,236726203,06/11/2019 06:43:07 PM,06/11/2019 06:45:48 PM,74.141.215.36,,,,,A3CFNUD7VR2E1E,,,,,,,,,,Yes,,just a daily multivitami,,Social Media,,,,,,No,In-store,,,,,,,Neither likely nor unlikely,,,,,,,Brand,Price,Female,
10791079414,236726203,06/11/2019 03:25:51 PM,06/11/2019 03:26:42 PM,137.52.20.242,,,,,A1IZ4NX41GKU4X,,,,,,,,,,Yes,,I TAKE THEM TO SUPPLEMENT ME NOT EATING BREAKFAST,,,Searching Online,,,,,No,,Online,,,,,,Neither likely nor unlikely,,,,,,,Brand,Price,,Male
10790939952,236726203,06/11/2019 02:30:48 PM,06/11/2019 02:33:22 PM,71.57.209.80,,,,,ABLP1KUWW46S6,,,,,,,,,,Yes,,to help with my diet,Word of mouth,,,,,,Yes,,In-store,,,,,,Somewhat likely,,,,,Organic certification,,,,,Female,
10790918960,236726203,06/11/2019 02:24:31 PM,06/11/2019 02:25:16 PM,198.245.254.124,,,,,A2HHK2B1GUH9GX,,,,,,,,,,Yes,,to help lose weight,,Social Media,,,,,,No,,Online,,,,,Somewhat likely,,,,,,,,,Price,Female,
10790860441,236726203,06/11/2019 02:01:27 PM,06/11/2019 02:02:44 PM,65.191.50.121,,,,,A1Q2C5GJTB09WW,,,,,,,,,,,No,I am tired of taking pills and try to eat the right foods to get the proper nutritents,,,,,,Your Doctor,,No,,Online,,,,,,,Somewhat unlikely,,,Organic certification,,,,Price,Female,
10790412184,236726203,06/11/2019 11:18:39 AM,06/11/2019 11:21:17 AM,99.203.30.55,,,,,A3S0INU046UTYK,,,,,,,,,,Yes,,"I take them for health benefits and extra benefits of nutritional aspects, like antioxidants; flavonols; etc. I believe a lot of things exist out there that many people don't bother incorporating in their diet for health boosts and pain and/or disease prevention/management/etc.",,,Searching Online,,,,,No,,Online,,,Very likely,,,,,,,Organic certification,,Dosage,,Price,,
10790372176,236726203,06/11/2019 11:06:19 AM,06/11/2019 11:08:34 AM,65.60.158.37,,,,,A37QFZ8I1TGH2C,,,,,,,,,,,No,"In the mouth and out the urine - literally, that has been my experience.",,,,,,Your Doctor,Yes,,In-store,,,,,,,,,Unlikely,,Organic certification,Vegan capsule,,Brand,Price,Female,
